63

0   V0, pass 1,  phi<0.01
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.39  0.0000  0.0100   26.46  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.007750   0.0353   0.0379   0.0358   0.0379   0.0358
 14 2 3   0.006010   0.0407   0.0659   0.0398   0.0659   0.0398
 15 2 4   0.005600   0.4094   0.0551   0.0408   0.0551   0.0408
 16 2 5   0.008320   0.0470   0.0875   0.0394   0.0875   0.0394
 17 2 6   0.006220   0.3150   0.0723   0.0725   0.0723   0.0725
 18 3 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 19 3 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 20 3 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 21 3 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 22 4 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 23 4 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 24 4 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 29 5 1   0.010140   0.1642   0.2463   0.1554   0.2463   0.1714
 30 5 2   0.018160   0.3101   0.3972   0.3181   0.3972   0.3183
 31 5 3   0.014310   0.4223   0.5134   0.4668   0.5433   0.4731
 32 5 4   0.013820   0.7245   0.6506   0.7996   0.7042   0.6235
 33 5 5   0.018420   2.0041   0.8054   0.9422   1.0477   1.4425
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.011070   1.0561   0.0063   0.0462   0.0354   0.0462
  1 0 1   0.003370   0.3397   0.0156   0.0181   0.0156   0.0181
  2 0 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  3 0 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.002250   0.0205   0.0047   0.0035   0.0047   0.0035
 12 2 1   0.001760   0.0167   0.0058   0.0066   0.0058   0.0066
 13 2 2   0.001540   0.0143   0.0056   0.0076   0.0056   0.0076
 14 2 3   0.001480   0.0122   0.0055   0.0044   0.0055   0.0044
 15 2 4   0.001290   0.0115   0.0055   0.0047   0.0055   0.0047
 16 2 5   0.001120   0.0087   0.0047   0.0041   0.0047   0.0041
 17 2 6   0.001140   0.0094   0.0055   0.0058   0.0055   0.0058
 18 3 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 19 3 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 20 3 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 21 3 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 22 4 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 23 4 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 24 4 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 29 5 1   0.000530   0.0110   0.0011   0.0010   0.0031   0.0110
 30 5 2   0.000790   0.0913   0.0235   0.0914   0.0211   0.0914
 31 5 3   0.000800   0.1027   0.0287   0.1020   0.0287   0.1020
 32 5 4   0.000980   0.0986   0.0289   0.0979   0.0289   0.0979
 33 5 5   0.000840   0.1053   0.0240   0.1032   0.0147   0.1032
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000

9  V0,  phi<0.06, pass 1
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.01   29.80  0.0500  0.0600   22.65  0.190  0.167
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.009620   0.1346   0.1248   0.1750   0.1248   0.1750
  3 0 3   0.010420   0.1944   0.1846   0.1714   0.1846   0.1714
  4 1 0   0.007870   0.1800   0.1122   0.1013   0.0950   0.1130
  5 1 1   0.004580   0.0621   0.0657   0.0591   0.0657   0.0591
  6 1 2   0.004400   0.0965   0.0596   0.0454   0.0596   0.0454
  7 1 3   0.004360   0.0428   0.0761   0.0425   0.0761   0.0425
  8 1 4   0.004130   0.0404   0.0594   0.0396   0.0594   0.0396
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.011310   0.1255   0.1400   0.0928   0.1400   0.1306
 12 2 1   0.004160   0.0378   0.0609   0.0396   0.0609   0.0396
 13 2 2   0.003560   0.0459   0.0582   0.0501   0.0582   0.0501
 14 2 3   0.004260   0.1190   0.0575   0.0560   0.0575   0.0560
 15 2 4   0.002940   0.0335   0.0453   0.0339   0.0453   0.0339
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.021180   0.9578   0.4368   0.8891   0.5592   1.0001
 19 3 1   0.013930   0.4858   0.3905   0.5673   0.3905   0.5673
 20 3 2   0.022720   0.9533   1.2090   0.8227   1.2090   0.8227
 21 3 3   0.037770   6.0989   5.3074   2.5439   5.3074   2.5439
 22 4 0   0.018550   2.9213   0.8300   1.0235   0.8300   1.0235
 23 4 1   0.019430   2.6574   0.4627   0.9149   0.6438   0.9149
 24 4 2   0.020240   2.1940   0.4788   0.6530   0.5798   0.6530
 25 4 3   0.009450   4.0570   0.3688   0.9957   0.3688   0.9957
 26 4 4   0.015750   3.8733   0.3942   1.3509   0.3942   1.3509
 27 4 5   0.011920   3.5928   0.3800   1.4801   0.3800   1.4801
 28 5 0   0.018690   2.5881   0.8753   1.0799   0.8753   1.0799
 29 5 1   0.021450   1.8907   0.1878   1.1126   0.5255   1.1126
 30 5 2   0.026440   2.4614   0.3211   0.3196   0.4695   0.4008
 31 5 3   0.013150   0.9487   0.4044   0.9636   0.7654   0.9636
 32 5 4   0.013930   2.8058   0.3434   1.4522   0.3434   1.4522
 33 5 5   0.012100   2.3273   0.4884   1.0982   0.4884   1.0982
 34 6 0   0.015610   1.4916   1.6513   2.2297   1.6513   2.2297
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.022640   1.0986   1.5132   1.5847   1.5132   1.5847
 37 7 1   0.023300   1.9363   1.1425   1.9355   1.1425   2.0650
 38 7 2   0.032590   2.6141   1.2128   1.8208   1.4098   3.5764
 39 7 3   0.032620   2.7926   1.1986   2.9525   2.1635   5.2656
 40 7 4   0.044590   3.0657   2.0999   4.4761   2.0999   5.8133
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.035600   1.8290   2.3098   2.5786   2.3098   2.5786
 43 8 1   0.029310   2.3656   1.0838   2.5705   1.3923   2.7421
 44 8 2   0.040870   2.8347   1.4954   2.6401   1.6049   4.4278
 45 8 3   0.048150   3.2582   1.7125   4.2106   1.7125   6.6408
 46 8 4   0.134130   6.2845   3.0491   5.0628   3.0491  15.6756
 47 8 5   0.040260   3.5533   2.4364   3.1701   2.4364   4.1452
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.004920   1.1413   0.0061   0.0222   0.0061   0.0222
  1 0 1   0.004320   0.5474   0.0060   0.0109   0.0060   0.0109
  2 0 2   0.004310   0.2773   0.0227   0.0196   0.0227   0.0196
  3 0 3   0.004040   0.1924   0.0062   0.0072   0.0062   0.0072
  4 1 0   0.001920   0.0312   0.0055   0.0029   0.0055   0.0029
  5 1 1   0.001810   0.0202   0.0049   0.0022   0.0049   0.0022
  6 1 2   0.001560   0.0140   0.0046   0.0024   0.0046   0.0024
  7 1 3   0.001280   0.0083   0.0039   0.0021   0.0039   0.0021
  8 1 4   0.000910   0.0070   0.0032   0.0017   0.0032   0.0017
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.001980   0.0249   0.0050   0.0036   0.0047   0.0036
 12 2 1   0.001700   0.0188   0.0047   0.0026   0.0047   0.0026
 13 2 2   0.001540   0.0163   0.0041   0.0023   0.0041   0.0023
 14 2 3   0.001200   0.0098   0.0037   0.0019   0.0037   0.0019
 15 2 4   0.000990   0.0059   0.0034   0.0012   0.0034   0.0012
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.014750   0.5305   0.0380   0.1093   0.0380   0.1093
 19 3 1   0.014990   0.4196   0.0304   0.1186   0.0304   0.1186
 20 3 2   0.022910   0.4867   0.0312   0.1678   0.0312   0.1678
 21 3 3   0.039390   1.6738   0.0615   0.1363   0.0615   0.1363
 22 4 0   0.004330   0.1609   0.0490   0.0862   0.0490   0.0862
 23 4 1   0.003870   0.1371   0.0643   0.1342   0.0643   0.1342
 24 4 2   0.003550   0.1254   0.0525   0.0909   0.0525   0.0949
 25 4 3   0.002900   0.1291   0.0764   0.0865   0.0764   0.0865
 26 4 4   0.002090   0.1277   0.0461   0.0876   0.0461   0.0876
 27 4 5   0.001470   0.1113   0.0441   0.1031   0.0441   0.1031
 28 5 0   0.004310   0.1232   0.0573   0.0843   0.0573   0.0843
 29 5 1   0.004020   0.1227   0.0575   0.0875   0.0575   0.0875
 30 5 2   0.002300   0.0834   0.0434   0.0773   0.0434   0.0773
 31 5 3   0.002220   0.0944   0.0497   0.0846   0.0497   0.0846
 32 5 4   0.001270   0.0824   0.0377   0.0788   0.0377   0.0788
 33 5 5   0.001240   0.0880   0.0316   0.0857   0.0316   0.0857
 34 6 0   0.034590   1.8464   0.0623   0.7277   0.0623   0.7277
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.004260   0.2465   0.0776   0.0753   0.0776   0.0753
 37 7 1   0.003030   0.2017   0.0595   0.0528   0.0595   0.1000
 38 7 2   0.003270   0.2782   0.1162   0.0822   0.1825   0.2900
 39 7 3   0.004320   1.0809   0.0966   0.0653   0.7928   0.6299
 40 7 4   0.003800   0.3622   0.1208   0.1472   0.1208   0.1105
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.008120   0.3873   0.3301   0.3543   0.3301   0.3543
 43 8 1   0.003560   0.2663   0.1493   0.0588   0.1493   0.0588
 44 8 2   0.003410   0.2553   0.1266   0.1620   0.0316   0.1620
 45 8 3   0.003890   0.3622   0.1526   0.1362   0.1526   0.1362
 46 8 4   0.000020   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.001060   0.0883   0.0740   0.0199   0.0740   0.0982

10  V0,  phi<0.07, pass 1
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.01   26.81  0.0600  0.0700   23.27  0.169  0.154
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.009400   0.1284   0.1332   0.1461   0.1332   0.1461
  3 0 3   0.011150   0.2145   0.2226   0.2169   0.2226   0.2169
  4 1 0   0.009070   0.1095   0.1217   0.1122   0.1217   0.0485
  5 1 1   0.004290   0.0467   0.0442   0.0489   0.0442   0.0489
  6 1 2   0.004840   0.0437   0.0807   0.0453   0.0807   0.0453
  7 1 3   0.003950   0.1794   0.0702   0.0518   0.0702   0.0518
  8 1 4   0.002750   0.0279   0.0436   0.0271   0.0436   0.0271
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.006570   0.0989   0.1008   0.0933   0.1008   0.0634
 12 2 1   0.004000   0.0516   0.0552   0.0524   0.0552   0.0524
 13 2 2   0.004080   0.0310   0.0609   0.0370   0.0609   0.0370
 14 2 3   0.005100   0.0424   0.0769   0.0422   0.0769   0.0422
 15 2 4   0.002780   0.0393   0.0481   0.0424   0.0481   0.0424
 16 2 5   0.004140   0.0255   0.0590   0.0392   0.0590   0.0392
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.016460   0.9099   0.5532   1.0134   0.5532   1.0383
 19 3 1   0.022950   0.6688   0.4484   0.4574   0.4484   0.4574
 20 3 2   0.025260   1.6674   2.1189   2.1036   2.1189   2.1036
 21 3 3   0.063800  12.1918   6.2977   6.4153   6.2977   6.4153
 22 4 0   0.016520   2.6551   0.4345   1.1413   0.6890   1.1413
 23 4 1   0.041410   1.4869   0.6569   0.9386   0.9995   0.6764
 24 4 2   0.016180   1.8341   0.4515   0.7916   0.4515   0.7916
 25 4 3   0.010220   2.6007   0.3597   0.7210   0.3597   0.7210
 26 4 4   0.011230   2.7430   0.3868   1.2441   0.3868   1.2441
 27 4 5   0.013860   3.0042   0.5073   0.9499   0.5073   0.9499
 28 5 0   0.015110   1.6929   0.6340   1.3485   0.0879   1.3485
 29 5 1   0.030910   2.8023   0.5288   1.2773   0.6268   1.2773
 30 5 2   0.014740   1.3943   0.2588   0.2647   0.3470   0.2979
 31 5 3   0.013730   0.6418   0.3357   0.9731   0.3393   0.9731
 32 5 4   0.012860   2.6569   0.2610   1.1513   0.2610   1.1513
 33 5 5   0.011950   1.1476   0.5883   0.6883   0.5883   0.6883
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.013840   1.4585   0.0000   0.0000   0.7947   2.5884
 40 7 4   0.034750   0.7175   0.0000   0.0000   0.2760   3.2033
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.019030   1.5904   0.0000   0.0000   0.3151   2.8201
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.037390   1.0495   0.0000   0.0000   0.9732   2.7392
 47 8 5   0.038840   1.7416   1.4308   3.0554   1.4212   3.0554
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.005670   0.8437   0.0062   0.0245   0.0062   0.0245
  1 0 1   0.004910   0.5122   0.0061   0.0194   0.0061   0.0194
  2 0 2   0.004590   0.2655   0.0051   0.0865   0.0051   0.0865
  3 0 3   0.004280   0.2000   0.0057   0.0068   0.0057   0.0068
  4 1 0   0.001960   0.0188   0.0046   0.0020   0.0026   0.0020
  5 1 1   0.001730   0.0184   0.0047   0.0026   0.0047   0.0026
  6 1 2   0.001670   0.0094   0.0046   0.0025   0.0046   0.0025
  7 1 3   0.001360   0.0081   0.0034   0.0016   0.0034   0.0016
  8 1 4   0.001130   0.0074   0.0018   0.0020   0.0018   0.0020
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.001900   0.0210   0.0050   0.0031   0.0050   0.0031
 12 2 1   0.001760   0.0148   0.0043   0.0026   0.0043   0.0026
 13 2 2   0.001550   0.0124   0.0043   0.0018   0.0043   0.0018
 14 2 3   0.001410   0.0076   0.0042   0.0017   0.0042   0.0017
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.016060   0.5061   0.0265   0.1095   0.0265   0.1095
 19 3 1   0.016740   0.3852   0.0512   0.1320   0.0512   0.1320
 20 3 2   0.036060   1.3103   0.0491   0.1099   0.0491   0.1099
 21 3 3   0.035710   1.5970   0.0498   0.1141   0.0498   0.1141
 22 4 0   0.008610   0.2130   0.0531   0.0825   0.0553   0.0830
 23 4 1   0.003980   0.1500   0.0776   0.0746   0.0776   0.0746
 24 4 2   0.002290   0.1014   0.0629   0.0801   0.0629   0.0801
 25 4 3   0.002750   0.0829   0.0532   0.0716   0.0532   0.0716
 26 4 4   0.001580   0.0753   0.0410   0.0697   0.0410   0.0697
 27 4 5   0.001180   0.0676   0.0319   0.0628   0.0319   0.0628
 28 5 0   0.003530   0.1310   0.0667   0.0830   0.0667   0.0830
 29 5 1   0.003000   0.1498   0.0728   0.0816   0.0728   0.0858
 30 5 2   0.002990   0.0971   0.0457   0.0832   0.0457   0.0832
 31 5 3   0.002040   0.0920   0.0444   0.0874   0.0444   0.0874
 32 5 4   0.001270   0.0745   0.0316   0.0712   0.0316   0.0712
 33 5 5   0.001080   0.0624   0.0332   0.0588   0.0332   0.0588
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000

11  Pass 2, V0,  phi<0.02
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   1      1       1  3     6    0.00   31.55  0.0000  0.0200   23.08  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.003250   0.1416   0.0349   0.0638   0.0349   0.0638
  3 0 3   0.003780   0.1059   0.0541   0.0873   0.0629   0.0379
  4 1 0   0.004630   0.0423   0.0617   0.0385   0.0360   0.0217
  5 1 1   0.002540   0.0305   0.0276   0.0250   0.0287   0.0233
  6 1 2   0.001910   0.0239   0.0247   0.0210   0.0247   0.0254
  7 1 3   0.003220   0.0186   0.0304   0.0215   0.0427   0.0215
  8 1 4   0.002800   0.0168   0.0281   0.0181   0.0393   0.0181
  9 1 5   0.000350   0.0018   0.0038   0.0026   0.0038   0.0026
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.003860   0.0355   0.0434   0.0273   0.0348   0.0253
 12 2 1   0.002710   0.0300   0.0242   0.0220   0.0334   0.0282
 13 2 2   0.002280   0.0689   0.0282   0.0684   0.0292   0.0492
 14 2 3   0.002060   0.0208   0.0291   0.0176   0.0291   0.0176
 15 2 4   0.004660   0.0172   0.0271   0.0126   0.0762   0.0155
 16 2 5   0.001560   0.0090   0.0214   0.0098   0.0261   0.0098
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.006850   0.3519   0.1316   0.2600   0.1246   0.2258
 19 3 1   0.009710   0.4964   0.2329   0.2218   0.4138   0.5230
 20 3 2   0.007480   0.2975   0.3379   0.2896   0.3379   0.2986
 21 3 3   0.006400   0.4099   0.3610   0.4079   0.4078   0.4109
 22 4 0   0.007530   1.5015   0.2639   0.1463   0.2721   0.1733
 23 4 1   0.010450   0.2571   0.1718   0.2627   0.3097   0.2296
 24 4 2   0.007820   0.3073   0.1894   0.2999   0.2815   0.3114
 25 4 3   0.006560   0.3932   0.1395   0.2892   0.2324   0.3389
 26 4 4   0.004950   0.2938   0.1750   0.2819   0.2574   0.3061
 27 4 5   0.007580   0.5113   0.2541   0.3823   0.2541   0.5651
 28 5 0   0.011910   0.2397   0.3032   0.2268   0.3015   0.2349
 29 5 1   0.015040   0.9085   0.2492   0.2781   0.3497   0.2537
 30 5 2   0.013440   0.3062   0.2066   0.2922   0.2473   0.3225
 31 5 3   0.005360   0.3224   0.2102   0.2795   0.2132   0.3202
 32 5 4   0.007390   0.5314   0.1892   0.4041   0.1927   0.5387
 33 5 5   0.007520   0.5057   0.3157   0.2899   0.3157   0.5282
 34 6 0   0.007360   0.8592   0.2818   0.6928   0.4513   0.8348
 35 6 1   0.004880   1.7669   0.3345   1.7744   0.3315   1.7744
 36 7 0   0.004110   0.9478   0.2059   0.9835   0.4134   0.9835
 37 7 1   0.006670   1.3945   0.5855   1.3190   0.5855   1.3190
 38 7 2   0.007990   1.1190   0.3787   1.1322   0.3927   1.1322
 39 7 3   0.008490   1.3094   0.4524   1.3108   0.4465   1.3108
 40 7 4   0.012780   1.2800   0.3155   1.2995   0.6105   1.2995
 41 7 5   0.009970   1.5951   0.5723   1.6040   0.5915   1.6040
 42 8 0   0.004230   0.9423   0.2084   0.9694   0.2766   0.9694
 43 8 1   0.011260   1.1350   0.3433   1.1298   0.5144   1.1298
 44 8 2   0.007090   1.0746   0.3720   1.0693   0.3750   1.0693
 45 8 3   0.013700   1.1252   0.3775   1.1306   0.4955   1.1306
 46 8 4   0.014160   1.4283   0.5085   1.5221   1.4634   1.5290
 47 8 5   0.010690   1.1722   0.7980   1.2224   0.7980   1.2224
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.002100   1.1110   0.0030   0.0192   0.0030   0.0192
  1 0 1   0.001590   0.4960   0.0028   0.0218   0.0028   0.0218
  2 0 2   0.001470   0.2933   0.0037   0.0148   0.0037   0.0148
  3 0 3   0.001310   0.2127   0.0050   0.0114   0.0015   0.0114
  4 1 0   0.000860   0.0316   0.0042   0.0016   0.0042   0.0016
  5 1 1   0.000830   0.0218   0.0051   0.0024   0.0051   0.0014
  6 1 2   0.000710   0.0161   0.0051   0.0025   0.0052   0.0025
  7 1 3   0.000720   0.0088   0.0051   0.0024   0.0051   0.0024
  8 1 4   0.000560   0.0064   0.0050   0.0021   0.0050   0.0021
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000770   0.0312   0.0054   0.0016   0.0054   0.0016
 12 2 1   0.000690   0.0215   0.0056   0.0012   0.0046   0.0012
 13 2 2   0.000650   0.0174   0.0056   0.0023   0.0056   0.0023
 14 2 3   0.000640   0.0106   0.0045   0.0018   0.0045   0.0018
 15 2 4   0.000560   0.0075   0.0046   0.0022   0.0046   0.0022
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.005200   0.3719   0.0084   0.1051   0.0084   0.1051
 19 3 1   0.004210   0.3035   0.0085   0.1062   0.0085   0.1062
 20 3 2   0.003730   0.2368   0.0103   0.0987   0.0103   0.0987
 21 3 3   0.004290   0.1913   0.0079   0.1118   0.0079   0.1131
 22 4 0   0.001470   0.0901   0.0168   0.0894   0.0168   0.0924
 23 4 1   0.001180   0.0882   0.0140   0.0855   0.0140   0.0877
 24 4 2   0.000820   0.1055   0.0156   0.1029   0.0156   0.1029
 25 4 3   0.000730   0.0980   0.0181   0.0857   0.0181   0.0952
 26 4 4   0.000730   0.0930   0.0188   0.0930   0.0188   0.0930
 27 4 5   0.000380   0.0884   0.0137   0.0880   0.0137   0.0880
 28 5 0   0.001340   0.1023   0.0181   0.0926   0.0175   0.0932
 29 5 1   0.000850   0.1010   0.0143   0.0971   0.0143   0.0971
 30 5 2   0.001180   0.0912   0.0141   0.0921   0.0141   0.0928
